KluczKlienta;Imie;Nazwisko;Imie i Nazwisko;Plec;DataPierwszegoZakupu;Miasto
11000;Jon;Yang;Jon Yang;Mezczyzna;2021-01-19;Rockhampton
11001;Eugene;Huang;Eugene Huang;Mezczyzna;2021-01-15;Seaford
11002;Ruben;Torres;Ruben Torres;Mezczyzna;2021-01-07;Hobart
11003;Christy;Zhu;Christy Zhu;Kobieta;2020-12-29;North Ryde
11004;Elizabeth;Johnson;Elizabeth Johnson;Kobieta;2021-01-23;Wollongong
11005;Julio;Ruiz;Julio Ruiz;Mezczyzna;2020-12-30;East Brisbane
11006;Janet;Alvarez;Janet Alvarez;Kobieta;2021-01-24;Matraville
11007;Marco;Mehta;Marco Mehta;Mezczyzna;2021-01-09;Warrnambool
11008;Rob;Verhoff;Rob Verhoff;Kobieta;2021-01-25;Bendigo
11009;Shannon;Carlson;Shannon Carlson;Mezczyzna;2021-01-27;Hervey Bay
11010;Jacquelyn;Suarez;Jacquelyn Suarez;Kobieta;2021-01-14;East Brisbane
11011;Curtis;Lu;Curtis Lu;Mezczyzna;2020-12-30;East Brisbane
11012;Lauren;Walker;Lauren Walker;Kobieta;2023-03-16;Bremerton
11013;Ian;Jenkins;Ian Jenkins;Mezczyzna;2023-04-13;Lebanon
11014;Sydney;Bennett;Sydney Bennett;Kobieta;2023-03-23;Redmond
11015;Chloe;Young;Chloe Young;Kobieta;2023-01-18;Burbank
11016;Wyatt;Hill;Wyatt Hill;Mezczyzna;2023-02-09;Imperial Beach
11017;Shannon;Wang;Shannon Wang;Kobieta;2021-01-12;Sunbury
11018;Clarence;Rai;Clarence Rai;Mezczyzna;2021-01-17;Bendigo
11019;Luke;Lal;Luke Lal;Mezczyzna;2023-02-12;Langley
11020;Jordan;King;Jordan King;Mezczyzna;2022-12-29;Metchosin
11021;Destiny;Wilson;Destiny Wilson;Kobieta;2023-01-23;Beaverton
11022;Ethan;Zhang;Ethan Zhang;Mezczyzna;2023-01-20;Bellingham
11023;Seth;Edwards;Seth Edwards;Mezczyzna;2023-02-17;Bellflower
11024;Russell;Xie;Russell Xie;Mezczyzna;2023-06-27;Concord
11025;Alejandro;Beck;Alejandro Beck;Mezczyzna;2021-01-06;Hawthorne
11026;Harold;Sai;Harold Sai;Mezczyzna;2021-01-23;Goulburn
11027;Jessie;Zhao;Jessie Zhao;Mezczyzna;2021-01-16;Warrnambool
11028;Jill;Jimenez;Jill Jimenez;Kobieta;2021-01-26;St. Leonards
11029;Jimmy;Moreno;Jimmy Moreno;Mezczyzna;2021-01-19;Bendigo
